id,name,min_range,max_range
60ea0db0-97c4-454c-9e8e-6ec28d91da1e,B585/42,543,627
6f668394-5f05-4c1a-b458-d09c884a8dc2,B525/40,485,565
c927b998-f9cb-4264-b83c-3764684793c5,B690/50,640,740
e9ddebb0-4974-41e3-ae53-f528bb9c9c62,B780/60,720,630
02f085d4-a8ab-45dc-9c4e-996f84b10452,R660/10,650,670
7593f60d-2adb-4060-be0f-f9a575edd2bc,R712/25,687,737
ab8abaa6-92f8-402a-b2a9-0695a15cf4bb,R780/60,720,840
98c0ee06-acf2-4435-a001-239f3ec91ff8,V450/45,405,495
4d48dec7-120f-402e-8131-0de39701213e,V525/40,485,565
